"station","NAME","LATITUDE","LONGITUDE"
"71168099999","SIOUX FALLS CLIMATE, SD US","43.7333333","-96.6333333"
"71281099999","GRENADIER ISLAND ONT, CA","44.4166666","-75.85"
"72011053983","LLANO MUNICIPAL AIRPORT, TX US","30.78361","-98.66194"
"72011354829","OAKLAND TROY AIRPORT, MI US","42.54306","-83.17806"
"72012063837","HILTON HEAD ISLAND AIRPORT, SC US","32.21667","-80.7"
"72012999999","AUSTIN AIRPORT, NV US","39.4679444","-117.197444"
"72013704867","MORRIS MUNICIPAL JR WASHBURN FIELD AIRPORT, IL US","41.42528","-88.41861"
"72015103049","ALPINE CASPARIS MUNICIPAL AIRPORT, TX US","30.38333","-103.68333"
"72016899999","COVINGTON MUNICIPAL, TN US","35.583364","-89.587222"
"72016900116","WASHINGTON REGIONAL AIRPORT, MO US","38.583","-91.0"
"72017063851","METROPOLIS MUNICIPAL AIRPORT, IL US","37.18583","-88.75056"
"72017199999","WILLIAM L WHITEHURST FIELD, TN US","35.214458","-89.043361"
"72017253996","MENA INTERMOUNTAIN MUNICIPAL AIRPORT, AR US","34.54528","-94.2025"
"72017553919","MONTICELLO MUNICIPAL AIRPORT, AR US","33.63602","-91.7555"
"72019300117","LONNIE POOL FIELD WEAVERVILLE AIRPORT, CA US","40.747","-122.922"
"72019854813","MUNSING LAKESHORE, MI US","46.412036","-86.650452"
"72020200118","TILLAMOOK AIRPORT, OR US","45.417","-123.817"
"72025400119","CHEHALIS CENTRALIA AIRPORT, WA US","46.683","-122.983"
"72025599999","MIAMI MUNICIPAL, OK US","36.909222","-94.8875"
"72025763835","EARLY CO AIRPORT BLAKELY, GA US","31.39694","-84.89528"
"72025804997","ISEDOR IVERSON AIRPORT, MN US","46.61889","-93.30972"
"72026153976","BRIDGEPORT MUNICIPAL AIRPORT, TX US","33.17528","-97.82833"
"72026363834","ELBERT CO AIRPORT PATZ FIELD, GA US","34.095","-82.81583"
"72026563833","ALEXANDER CITY THOMAS C RUSSELL FIELD AIRPORT, AL US","32.91472","-85.96278"
"72026654809","WARSAW MUNICIPAL AIRPORT, IN US","41.27472","-85.84"
"72026723224","AUBURN MUNICIPAL AIRPORT, CA US","38.95472","-121.08194"
"72026853882","BAINBRIDGE DECATUR CO INDUSTRIAL AIR PARK AIRPORT, GA US","30.98333","-84.63333"
"72026912982","FALFURRIAS BROOKS CO AIRPORT, TX US","27.20667","-98.12111"
"72027103044","BIG SPRING MCMAHON WRINKLE AIRPORT, TX US","32.2125","-101.52139"
"72027294282","BURLINGTON SKAGIT REGIONAL BAYVIEW AIRPORT, WA US","48.46667","-122.41667"
"72027312981","BAY CITY MUNICIPAL AIRPORT, TX US","28.97306","-95.86333"
"72027493799","WHITEVILLE COLUMBUS CO MUNICIPAL AIRPORT, NC US","34.27278","-78.71472"
"72027504872","LAMBERTVILLE TOLEDO SUBURBAN AIRPORT, MI US","41.73583","-83.65528"
"72027612983","EDINBURG INTERNATIONAL AIRPORT, TX US","26.44194","-98.12944"
"72027763843","SHELBY MUNICIPAL AIRPORT, NC US","35.25556","-81.60111"
"72027803704","EMPORIA GREENSVILLE REGIONAL AIRPORT, VA US","36.68667","-77.48278"
"72027903705","ELIZABETHTOWN AIRPORT, NC US","34.60167","-78.57806"
"72028203736","KILL DEVIL HILLS FIRST FLIGHT AIRPORT, NC US","36.01833","-75.67139"
"72028304927","PRESTONE FILLMORE CO AIRPORT, MN US","43.67667","-92.17972"
"72028404877","CHARLOTTE FITCH H BEACH AIRPORT, MI US","42.57444","-84.81139"
"72028653977","GRANBURY MUNICIPAL AIRPORT, TX US","32.44444","-97.81694"
"72028753967","GRAYSON CO AIRPORT SHERMAN DENISON, TX US","33.71417","-96.67361"
"72028803711","HENDERSON OXFORD AIRPORT, NC US","36.36139","-78.52889"
"72028963836","THOMSON MCDUFFIE CO AIRPORT, GA US","33.52972","-82.51639"
"72029153970","MESQUITE METRO AIRPORT, TX US","32.74694","-96.53056"
"72029304989","INDEPENDENCE MUNICIPAL AIRPORT, IA US","42.45333","-91.9475"
"72029453898","WASHINGTON WILKES CO AIRPORT, GA US","33.77972","-82.81639"
"72029553972","HILLSBORO MUNICIPAL AIRPORT, TX US","32.08361","-97.09722"
"72029653945","JASPER CO BELL FIELD AIRPORT, TX US","30.88556","-94.03472"
"72029853971","JACKSONVILLE CHEROKEE CO AIRPORT, TX US","31.86944","-95.2175"
"72029953966","MID WAY REGIONAL AIRPORT MIDLOTHIAN WAXAHACHIE, TX US","32.45611","-96.9125"
"72030163846","SYLVANIA PLANTATION AIRPARK, GA US","32.64556","-81.59639"
"72030353973","HEARNE MUNICIPAL AIRPORT, TX US","30.87194","-96.62222"
"72030464752","WINGS FIELD, PA US","40.1","-75.26667"
"72030553964","DECATUR MUNICIPAL AIRPORT, TX US","33.25444","-97.58056"
"72030653879","LEES SUMMIT MUNICIPAL AIRPORT, MO US","38.95765","-94.37117"
"72030763804","HUNTSVILLE MADISON CO EXECUTIVE AIRPORT, AL US","34.86139","-86.55722"
"72030804992","MILLARD AIRPORT OMAHA, NE US","41.19611","-96.11194"
"72030904947","MOUNT PLEASANT MUNICIPAL AIRPORT, IA US","40.94667","-91.51111"
"72031153962","MOUNT PLEASANT AIRPORT, TX US","33.09556","-94.96139"
"72031204964","PELLA MUNICIPAL AIRPORT, IA US","41.4","-92.94583"
"72031303052","PERRY LEFORS FIELD AIRPORT, TX US","35.61306","-100.99639"
"72031493983","PALESTINE MUNICIPAL AIRPORT, TX US","31.77972","-95.70639"
"72031503045","PERRYTON OCHILTREE CO AIRPORT, TX US","36.41389","-100.74972"
"72031612984","ROBSTOWN NUECES CO AIRPORT, TX US","27.77861","-97.69056"
"72031703735","STAFFORD REGIONAL AIRPORT, VA US","38.39806","-77.45556"
"72031853965","GRAHAM MUNICIPAL AIRPORT, TX US","33.11","-98.55528"
"72031963841","ROBINSON MUNICIPAL AIRPORT, IL US","39.01611","-87.64972"
"72032053981","CLEBURNE MUNICIPAL AIRPORT, TX US","32.35389","-97.43389"
"72032104893","CHEBOYGAN CO AIRPORT, MI US","45.65361","-84.51917"
"72032204129","SANDPOINT AIRPORT, ID US","48.29944","-116.56"
"72032393947","FREDERICKSBURG GILLESPIE CO AIRPORT, TX US","30.24333","-98.90972"
"72032464753","QUAKERTOWN AIRPORT, PA US","40.43528","-75.38194"
"72032604981","VINTON VETERANS MEMORIAL AIRPARK AIRPORT, IA US","42.21861","-92.02583"
"72032704995","MENOMONIE MUNICIPAL AIRPORT SCORE FIELD, WI US","44.89222","-91.86778"
"72032863832","UPSHUR CO REGIONAL AIRPORT BUCKHANNON, WV US","39.00028","-80.27389"
"72032999999","CABLE, CA US","34.111542","-117.687589"
"72033063853","MOUNT CARMEL MUNICIPAL AIRPORT, IL US","38.60667","-87.72667"
"72033199999","KENNETT MEM, MO US","36.225861","-90.036642"
"72033353175","CORONA MUNICIPAL AIRPORT, CA US","33.89765","-117.60243"
"72033493764","GAITHERSBURG MONTGOMERY CO AIR PARK, MD US","39.16667","-77.16667"
"72033899999","FORT SCOTT MUNICIPAL, KS US","37.798431","-94.769381"
"72033900121","RYAN FIELD AIRPORT, AZ US","32.15","-111.167"
"72034054818","FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US","44.62556","-86.20083"
"72034253947","WATONGA AIRPORT, OK US","35.86444","-98.42056"
"72034354852","WAUPACA MUNICIPAL AIRPORT, WI US","44.33333","-89.01972"
"72034454920","CHEROKEE MUNICIPAL AIRPORT, IA US","42.73167","-95.55583"
"72034594086","PINEDALE RALPH WENZ FIELD AIRPORT, WY US","42.79556","-109.80694"
"72034653991","OAKDALE ALLEN PARISH AIRPORT, LA US","30.75028","-92.68833"
"72034763877","GREENSBORO GREENE CO REGIONAL AIRPORT, GA US","33.59778","-83.13889"
"72034863886","MILLEDGEVILLE BALDWIN CO AIRPORT, GA US","33.15417","-83.24056"
"72035154919","OSKALOOSA MUNICIPAL AIRPORT, IA US","41.22611","-92.49083"
"72035363875","MIDDLESBORO BELL CO AIRPORT, KY US","36.61056","-83.7375"
"72035463901","QUARTZ MOUNTAIN REGIONAL AIRPORT, OK US","34.69861","-99.33806"
"72035503732","CUMBERLAND, MD US","39.6","-78.76667"
"72035613999","CLINTON REGIONAL AIRPORT, OK US","35.53827","-98.93278"
"72035753993","CUSHING MUNICIPAL AIRPORT, OK US","35.95","-96.77306"
"72035853999","EL RENO REGIONAL AIRPORT, OK US","35.47278","-98.00583"
"72035923902","SEMINOLE MUNICIPAL AIRPORT, OK US","35.27472","-96.675"
"72036163870","FLORALA MUNICIPAL AIRPORT, AL US","31.04474","-86.31193"
"72036263874","GREENVILLE MAC CRENSHAW MEMORIAL AIRPORT, AL US","31.84675","-86.6141"
"72036363872","EUFAULA WEEDON FIELD AIRPORT, AL US","31.95163","-85.13122"
"72036524267","BROOKINGS STATE AIRPORT, OR US","42.07444","-124.29"
"72036754927","PAYNESVILLE MUNICIPAL AIRPORT, MN US","45.37222","-94.74611"
"72036854924","SLAYTON MUNICIPAL AIRPORT, MN US","43.98667","-95.7825"
"72036904135","DRIGGS REED MEMORIAL AIRPORT, ID US","43.7425","-111.0975"
"72037154850","THREE RIVERS MUNICIPAL DR HAINES AIRPORT, MI US","41.95972","-85.59333"
"72037392824","PLANT CITY MUNICIPAL AIRPORT, FL US","28.00028","-82.16417"
"72037554844","DRUMMOND ISLAND AIRPORT, MI US","46.00722","-83.74278"
"72037663880","ALBERTVILLE MUNICIPAL AIRPORT, AL US","34.22917","-86.25583"
"72037713917","NEWPORT MUNICIPAL AIRPORT, AR US","35.63333","-91.16667"
"72037800122","NEW CASTLE MUNICIPAL AIRPORT, PA US","41.033","-80.417"
"72037963882","MONTICELLO WAYNE CO AIRPORT, KY US","36.85528","-84.85611"
"72038163885","GULF SHORES JACK EDWARDS AIRPORT, AL US","30.29056","-87.67167"
"72038200123","ST MICHAEL AIRPORT, AK US","63.49","-162.11"
"72038353847","WHITING FIELD NAS SOUTH, FL US","30.69729","-87.02073"
"72038400124","BAY BRIDGE AIRPORT, MD US","38.967","-76.333"
"72038500419","BERTHOUD PASS, CO US","39.8","-105.766"
"72038600125","WILLMAR MUNICIPAL AIRPORT JOHN L RICE FIELD, MN US","45.117","-95.133"
"72038800469","PIERCE CO AIRPORT THUN FIELD, WA US","47.10391","-122.28719"
"72039100127","BEEVILLE MUNICIPAL AIRPORT, TX US","28.35","-97.717"
"72039200128","HOMERVILLE AIRPORT, GA US","31.056","-82.767"
